번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
27,264850,IBKS제6호스팩,116601,금융 지원 서비스업,"4,315,000","431,500,000","100",원(KRW),02-6915-5357,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩) ",1268
28,276920,IBKS제7호스팩,116601,금융 지원 서비스업,"3,650,000","365,000,000","100",원(KRW),02-6915-5333,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동) &nbsp",1268
29,277410,IBKS제8호스팩,116601,금융 지원 서비스업,"2,210,000","221,000,000","100",원(KRW),02-6915-5342,서울특별시 영등포구 국제금융로6길 11 (여의도동) 삼덕빌딩 9층 &nbsp,1268
30,095340,ISC,032602,전자부품 제조업,"13,602,498","6,801,249,000","500",원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",1268
31,099520,ITX엠투엠,032605,영상 및 음향기기 제조업,"16,466,131","8,233,065,500","500",원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,1268
32,067290,JW신약,032102,의약품 제조업,"40,635,146","20,317,573,000","500",원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 ,1268
33,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"34,622,921","17,311,460,500","500",원(KRW),02-6347-0163,서울특별시 강남구  도산대로 537 운촌빌딩 3층 ,1268
34,024120,KB오토시스,033003,자동차 신품 부품 제조업,"11,500,000","5,750,000,000","500",원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 ,1268
35,021320,KCC건설,064101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 ,1268
36,036670,KCI,032004,기타 화학제품 제조업,"11,270,000","5,635,000,000","500",원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 ,1268
37,044180,KD건설,064101,건물 건설업,"355,691,714","35,569,171,400","100",원(KRW),031-491-8577,경기도 안산시 단원구 광덕서로 102 406-3호,1268
38,151860,KG ETS,053802,폐기물 처리업,"36,000,000","20,051,860,000","500",원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),1268
39,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"29,711,421","14,855,710,500","500",원(KRW),(02)2192-2000,"경기도 성남시 분당구  대왕판교로 660 삼평동, 유스페이스1 에이-5층",1268
40,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"27,883,006","13,941,503,000","500",원(KRW),(02)3430-5913,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 5층 ,1268
41,060720,KH바텍,032602,전자부품 제조업,"20,000,000","10,000,000,000","500",원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍 ,1268
42,083470,KJ프리텍,032202,플라스틱제품 제조업,"21,273,036","10,636,518,000","500",원(KRW),031-230-6903,경기도 화성시  반월남길 77 (주)케이제이프리텍,1268
43,122450,KMH,106002,텔레비전 방송업,"14,143,106","7,071,553,000","500",원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층,1268
44,052900,KMH하이텍,032202,플라스틱제품 제조업,"46,885,499","23,442,749,500","500",원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 ,1268
45,058400,KNN,106002,텔레비전 방송업,"132,429,720","66,214,860,000","500",원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워 ,1268
46,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000","500",원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84 ,1268
47,036030,KTH,106102,전기 통신업,"35,715,022","35,715,022,000","1,000",원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 ,1268
48,060370,KT서브마린,064203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42  ,1268
49,065150,MP그룹,074603,음·식료품 및 담배 도매업,"80,808,407","8,080,840,700","100",원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스,1268
50,219550,MP한강,074604,생활용품 도매업,"56,831,270","5,683,127,000","100",원(KRW),02-3773-8373,서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호,1268
51,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,406,106","13,703,053,000","500",원(KRW),02-3490-9300,"서울특별시 강남구 언주로 726 (논현동, 8층) ",1268
52,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업","13,497,842","6,748,921,000","500",원(KRW),02-2014-7114,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 ,1268
53,104200,NHN벅스,106309,기타 정보 서비스업,"14,827,550","7,413,775,000","500",원(KRW),031-8038-4186,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄,1268
54,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"19,587,503","9,793,751,500","500",원(KRW),(02)2108-1000,서울특별시 구로구  디지털로33길 28 우림이-비즈센터 508호,1268
55,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000","500",원(KRW),02-2122-4000,서울특별시 영등포구 국회대로74길 4- ,1268
56,024940,PN풍년,032509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000","500",원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 ,1268
57,218410,RFHIC,032604,통신 및 방송 장비 제조업,"22,036,928","11,018,464,000","500",원(KRW),031-8069-3016,경기도 안양시 동안구 부림로 170 41-14(관양동),1268
58,091340,S&K폴리텍,032602,전자부품 제조업,"11,703,721","5,851,860,500","500",원(KRW),031-432-8061,경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지,1268
59,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업,"162,066,575","83,533,287,500","500",원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 ,1268
60,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업,"24,656,540","0","0",일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 ",1268
61,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500","500",원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 ",1268
62,036120,SCI평가정보,147509,기타 사업지원 서비스업,"35,500,000","17,750,000,000","500",원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 ,1268
63,099220,SDN,074605,기계장비 및 관련 물품 도매업,"35,169,296","17,584,648,000","500",원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  ,1268
64,036540,SFA반도체,032601,반도체 제조업,"141,076,607","70,795,603,500","500",원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) ,1268
65,255220,SG,032309,기타 비금속 광물제품 제조업,"12,506,024","1,250,602,400","100",원(KRW),032-574-6525,"인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp",1268
66,040610,SG&G,033003,자동차 신품 부품 제조업,"34,087,196","17,043,598,000","500",원(KRW),02-2105-6315,경기도 성남시 분당구 대왕판교로606번길 47 SG타워 7층,1268
67,049470,SGA,105802,소프트웨어 개발 및 공급업,"89,935,452","44,967,726,000","500",원(KRW),070-7308-9319,"서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비지니스파크) ",1268
68,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"31,955,806","3,195,580,600","100",원(KRW),02-574-6856,"서울특별시 송파구 법원로11길 25 에이동 901호(문정동, 에이치비지니스파크) ",1268
69,090730,SIMPAC Metal,032401,1차 철강 제조업,"13,000,000","6,500,000,000","500",원(KRW),054-271-8700,경상북도 포항시 남구  괴동로 153 ,1268
70,232330,SK3호스팩,116601,금융 지원 서비스업,"3,600,000","360,000,000","100",원(KRW),02-3773-8373,"서울특별시 영등포구 국제금융로8길 31 여의도동, 에스케이증권빌딩",1268
71,057500,SKC 솔믹스,032602,전자부품 제조업,"61,494,040","30,747,020,000","500",원(KRW),(031)660-8400,경기도 평택시  경기대로 1043 ,1268
72,178920,SKC코오롱PI,032202,플라스틱제품 제조업,"29,366,322","14,683,161,000","500",원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 ,1268
73,036490,SK머티리얼즈,032001,기초 화학물질 제조업,"10,547,673","5,273,836,500","500",원(KRW),054-630-8114,경상북도 영주시  가흥공단로 59-33 ,1268
74,052260,SK바이오랜드,032004,기타 화학제품 제조업,"15,000,000","7,500,000,000","500",원(KRW),041-550-7700,충청남도 천안시 동남구  병천면 송정리2길 59 ,1268
75,048550,SM C&C,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","94,041,026","47,020,513,000","500",원(KRW),02-3788-0000,서울특별시 강남구 삼성로 648한섬빌딩 ,1268
76,089230,THE E&M,106309,기타 정보 서비스업,"91,860,980","9,186,098,000","100",원(KRW),02-2088-8222,"서울특별시 금천구 디지털로9길 68 9층(가산동, 대륭포스트타워 5차)",1268
77,032540,TJ미디어,032605,영상 및 음향기기 제조업,"13,931,609","6,965,804,500","500",원(KRW),02  -3663-4700,서울특별시 강서구 화곡로64길 23 ,1268
78,048770,TPC,032901,일반 목적용 기계 제조업,"12,900,000","6,450,000,000","500",원(KRW),032 -572 -1700,인천광역시 서구 갑문2로 39 (오류동) 단해창도클러스터 ,1268
79,038340,UCI,032802,일차전지 및 축전지 제조업,"11,486,547","5,793,273,500","500",원(KRW),(02)3438-6900,"서울특별시 구로구 디지털로31길 38-21 605호(구로동, 이앤씨벤처드림타워3차)",1268
80,052300,W홀딩컴퍼니,085209,기타 운송관련 서비스업,"118,983,162","11,898,316,200","100",원(KRW),02-6237-9786,서울특별시 강남구 언주로148길 19 청호빌딩 4층 ,1268
81,040300,YTN,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","42,000,000","42,000,000,000","1,000",원(KRW),(02) 398-8000,서울특별시 마포구 상암산로 76와이티엔뉴스퀘어 ,1268
82,051390,YW,074608,상품 종합 도매업,"11,355,368","5,677,684,000","500",원(KRW),(031)703-7118,"경기도 성남시 분당구  야탑남로 280 801(야탑동,분당테크노파크씨동)",1268
83,052220,iMBC,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","23,000,000","11,500,000,000","500",원(KRW),(02)2105-1100,"서울특별시 마포구 성암로 25510층(상암동, 문화방송미디어센터) ",1268
84,079940,가비아,105802,소프트웨어 개발 및 공급업,"13,535,684","6,767,842,000","500",원(KRW),1544-4370,"경기도 성남시 분당구  대왕판교로 660 유스페이스1 B동 401호,501호",1268
85,078890,가온미디어,032604,통신 및 방송 장비 제조업,"14,395,881","7,197,940,500","500",원(KRW),031-724-8500,경기도 성남시 분당구  성남대로 884-3 ,1268
86,192410,감마누,032604,통신 및 방송 장비 제조업,"24,435,800","12,217,900,000","500",원(KRW),031-831-8800,경기도 화성시 동탄면 금곡로 185-44 ,1268
87,024840,갑을메탈,032402,1차 비철금속 제조업,"31,241,496","15,620,748,000","500",원(KRW),053 -615 -1161,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,1268
88,217730,강스템바이오텍,032101,기초 의약물질 및 생물학적 제제 제조업,"16,276,712","8,138,356,000","500",원(KRW),02-888-1590,서울특별시 강남구 테헤란로 512 신안빌딩 17층,1268
89,094480,갤럭시아컴즈,105802,소프트웨어 개발 및 공급업,"34,829,838","17,414,919,000","500",원(KRW),02-3484-8400,서울시 강남구 수서동 715번지 수서오피스 빌딩 12층 ,1268
90,063080,게임빌,116409,기타 금융업,"6,595,192","3,297,596,000","500",원(KRW),02-876-5252,서울특별시 서초구  서초중앙로 4 게임빌빌딩,1268
91,039240,경남스틸,032401,1차 철강 제조업,"5,000,000","2,500,000,000","500",원(KRW),055 -252 -9208,경남 창원시 웅남동 61-46번지 ,1268
92,053950,경남제약,032102,의약품 제조업,"11,248,376","5,624,188,000","500",원(KRW),02-3490-5105,경상남도 의령군 동동리 1539-5 ,1268
93,011040,경동제약,032102,의약품 제조업,"13,275,000","13,575,000,000","1,000",원(KRW),02  -576 -6121,경기도 화성시  양감면 제약단지로 224-3 ,1268
94,024910,경창산업,033003,자동차 신품 부품 제조업,"17,560,000","8,780,000,000","500",원(KRW),053 -560 -0141,대구광역시 달서구 성서로35길 6 월암동,1268
95,089890,고려반도체,032902,특수 목적용 기계 제조업,"8,426,114","4,213,057,000","500",원(KRW),032-662-2224,경기도 부천시 오정구  산업로 62 ,1268
96,198440,고려시멘트,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","30,479,960","3,047,996,000","100",원(KRW),02-750-5644,전라남도 장성군 장성읍 영천로 35 고려시멘트,1268
97,049720,고려신용정보,147509,기타 사업지원 서비스업,"14,300,000","7,150,000,000","500",원(KRW),02-3450-9000,"서울특별시 서초구 서초대로 353 (서초동, 유니온타워)",1268
98,014570,고려제약,032102,의약품 제조업,"11,000,000","5,500,000,000","500",원(KRW),02-529-6100,경기도 이천시  신둔면 원적로 69-10 ,1268
99,098460,고영,032902,특수 목적용 기계 제조업,"13,685,951","6,842,975,500","500",원(KRW),02-6343-6000,"서울특별시 금천구 가산디지털2로 53 (가산동, 한라시그마밸리 14층, 15층)",1268
100,038530,골드퍼시픽,074604,생활용품 도매업,"6,655,713","3,327,856,500","500",원(KRW),02-2029-0700,"광주광역시 북구 첨단과기로 313 비동 204호 (대촌동, 하이테크센터)",1268
101,219580,골든브릿지제3호스팩,116601,금융 지원 서비스업,"4,900,000","490,000,000","100",원(KRW),02-3779-3129,"서울특별시 서대문구 충정로 50(충정로3가, 골든브릿지빌딩) ",1268
102,227950,골든브릿지제4호스팩,116601,금융 지원 서비스업,"7,550,000","755,000,000","100",원(KRW),02-3779-3129,"서울특별시 서대문구 충정로 50, 5층(충정로3가, 골든브릿지빌딩) ",1268
103,900280,골든센츄리,116409,기타 금융업,"29,800,000","5,960,000","0.2",미국달러(USD),86-514-80806067,"Floor 4, Willow House, Cricket Square, P O Box 2084, Grand Cayman KY1-1112, Cayman Islands &nbsp",1268
104,215000,골프존,105802,소프트웨어 개발 및 공급업,"6,275,415","3,137,707,500","500",원(KRW),1577-4333,대전광역시 유성구 엑스포로97번길 40 (도룡동),1268
105,121440,골프존뉴딘,116409,기타 금융업,"42,836,818","21,418,409,000","500",원(KRW),042-862-8109,서울특별시 강남구 영동대로 735- ,1268
106,014200,광림,033001,자동차용 엔진 및 자동차 제조업,"48,498,486","24,249,243,000","500",원(KRW),043 -260 -9111,충청북도 청원군  현도면 청남로 484 (주)광림 ,1268
107,026910,광진실업,032401,1차 철강 제조업,"6,405,405","3,202,702,500","500",원(KRW),051 -204 -9101,부산 사하구 신평동 370-103 ,1268
108,090150,광진윈텍,033003,자동차 신품 부품 제조업,"9,658,393","4,829,196,500","500",원(KRW),051-711-2222,부산광역시 기장군  장안읍 장안산단9로 110 ,1268
109,223040,교보5호스팩,116601,금융 지원 서비스업,"5,430,000","543,000,000","100",원(KRW),02-3771-9169,서울특별시 영등포구 의사당대로 97 ,1268
110,267320,교보7호스팩,116601,금융 지원 서비스업,"4,020,000","402,000,000","100",원(KRW),02-3771-9294,서울특별시 영등포구 의사당대로 97 (여의도동),1268
111,242040,교보비엔케이스팩,116601,금융 지원 서비스업,"7,110,000","711,000,000","100",원(KRW),02-3771-9294,서울특별시 영등포구 의사당대로 97 ,1268
112,053270,구영테크,033003,자동차 신품 부품 제조업,"19,794,174","9,897,087,000","500",원(KRW),053-592-6111,대구광역시 달서구  달서대로91길 97 ,1268
113,066620,국보디자인,064204,실내건축 및 건축마무리 공사업,"7,500,000","3,750,000,000","500",원(KRW),(02)738-2700,서울 마포구 서교동 477-22 ,1268
114,043650,국순당,031101,알코올음료 제조업,"17,858,304","8,929,152,000","500",원(KRW),02  -5138-500,강원도 횡성군 둔내면 강변로 975 ,1268
115,006050,국영지앤엠,032301,유리 및 유리제품 제조업,"34,895,243","17,447,621,500","500",원(KRW),02-2015-0370,"서울시 서초구 서초중앙로 36 (서초동, 준영빌딩 7층) ",1268
116,060480,국일신동,032402,1차 비철금속 제조업,"11,090,000","5,545,000,000","500",원(KRW),031-499-9192,경기도 안산시 단원구 번영2로 58 &nbsp,1268
117,078130,국일제지,031709,기타 종이 및 판지 제품 제조업,"116,391,006","11,639,100,600","100",원(KRW),(031)339-9100,경기도 용인시 처인구  이동면 백옥대로 563 ,1268
118,019010,그랜드백화점,074701,종합 소매업,"4,820,000","24,100,000,000","5,000",원(KRW),02-3665-0101,서울특별시 강남구 선릉로62길 15 ,1268
119,900070,글로벌에스엠,116409,기타 금융업,"53,743,968","26,871,984","0.5",미국달러(USD),031-932-9970,"GEORGE TOWN,GRAND CAYMAN KY1-1112 CAYMAN ISLANDS SCOTLA CENTRE 4TH FLOOR,P.O.BOX2804,",1268
120,204620,글로벌텍스프리,116601,금융 지원 서비스업,"95,605,506","9,560,550,600","100",원(KRW),02-518-0837,"서울특별시 중구 퇴계로 131 9층(충무로2가, 신일빌딩)",1268
121,019660,글로본,074608,상품 종합 도매업,"28,001,047","14,000,523,500","500",원(KRW),031-698-7300,서울특별시 강남구 도산대로 331 -,1268
122,053260,금강철강,032401,1차 철강 제조업,"18,720,000","9,860,000,000","500",원(KRW),(02)3471-0001,"서울특별시 서초구  서운로 19 701호(서초동, 서초월드오피스텔)",1268
123,036190,금화피에스시,064203,전기 및 통신 공사업,"6,000,000","3,000,000,000","500",원(KRW),02  -2186-6220,서울특별시 강남구  테헤란로25길 15-4 ,1268
124,049080,기가레인,032902,특수 목적용 기계 제조업,"48,600,920","24,300,460,000","500",원(KRW),031-233-7325,경기도 화성시 삼성1로5길 46 (석우동)  (주)기가레인,1268
125,035460,기산텔레콤,032604,통신 및 방송 장비 제조업,"14,577,340","7,288,670,000","500",원(KRW),02  -3431-8700,서울특별시 송파구  오금로 111 세기빌딩 11층,1268
126,187790,나노,032001,기초 화학물질 제조업,"39,269,856","3,926,985,600","100",원(KRW),054-533-5887,경상북도 상주시 청리면 마공공단로 60 -,1268
127,151910,나노스,032703,사진장비 및 광학기기 제조업,"490,837,980","49,083,798,000","100",원(KRW),031-240-3900,경기도 화성시 마도면 마도공단로2길 4 -,1268
128,121600,나노신소재,032004,기타 화학제품 제조업,"10,848,333","5,424,166,500","500",원(KRW),044-275-6966,세종특별자치시   부강면 금호안골길 78 부용지방산업단지내,1268
129,039860,나노엔텍,032701,의료용 기기 제조업,"24,468,214","12,234,107,000","500",원(KRW),02-6220-7728,서울특별시 구로구  디지털로26길 5 에이스하이엔드타워1차 1210호,1268
130,091970,나노캠텍,032202,플라스틱제품 제조업,"19,998,251","9,999,125,500","500",원(KRW),031-671-9466,경기도 용인시 처인구 남사면 완장천로 42-34 ,1268
131,051490,나라엠앤디,032902,특수 목적용 기계 제조업,"14,200,000","7,230,000,000","500",원(KRW),055-239-3600,경상남도 창원시 성산구  공단로 675 나라엠앤디(주) ,1268
132,190510,나무가,032602,전자부품 제조업,"3,420,798","1,908,138,500","500",원(KRW),070-7012-8400,"경기도 성남시 중원구 사기막골로 124, 709호(상대원동, SKn테크노파크) &nbsp",1268
133,089600,나스미디어,137103,광고업,"8,754,691","4,557,703,000","500",원(KRW),02-2188-7300,"서울특별시 강남구 도곡로1길 14 삼일프라자오피스텔4,5F ",1268
134,138610,나이벡,032103,의료용품 및 기타 의약 관련제품 제조업,"6,010,469","3,005,234,500","500",원(KRW),043-532-7458,충청북도 진천군  이월면 밤디길 116 이월전기전자농공1단지,1268
135,130580,나이스디앤비,147509,기타 사업지원 서비스업,"15,400,000","7,700,000,000","500",원(KRW),02-2122-2370,서울특별시 마포구 마포대로 217 (아현동),1268
136,036800,나이스정보통신,106102,전기 통신업,"10,000,000","5,000,000,000","500",원(KRW),02  -2187-2700,서울특별시 마포구  마포대로 217 크레디트센터빌딩 ,1268
137,091590,남화토건,064101,건물 건설업,"11,740,000","5,870,000,000","500",원(KRW),062-520-1072,전라남도 화순군 화순읍 벽라1길 40 ,1268
138,168330,내츄럴엔도텍,137001,자연과학 및 공학 연구개발업,"20,231,040","10,115,520,000","500",원(KRW),070-4601-3139,"경기도 성남시 분당구 판교로 255 번길 58, 에이동 301호 ",1268
139,072770,네오디안테크놀로지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","30,309,683","15,154,841,500","500",원(KRW),02-2082-2800,서울특별시 서초구 방배로34길 8 다원빌딩 301호,1268
140,212560,네오오토,033003,자동차 신품 부품 제조업,"7,874,963","3,937,481,500","500",원(KRW),02-732-2871,"서울특별시 종로구 새문안로5길 19 6층(당주동, 로얄빌딩)",1268
141,095660,네오위즈,105802,소프트웨어 개발 및 공급업,"21,915,008","10,957,504,000","500",원(KRW),031-8023-6600,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워 ,1268
142,042420,네오위즈홀딩스,116409,기타 금융업,"8,856,866","4,653,433,000","500",원(KRW),031-8023-6503,경기도 성남시 분당구 대왕판교로645번길 14네오위즈판교타워 ,1268
143,085910,네오티스,033003,자동차 신품 부품 제조업,"11,013,678","5,506,839,000","500",원(KRW),031-671-0170,경기도 안성시  죽산면 용대길 38-9 ,1268
144,092730,네오팜,032004,기타 화학제품 제조업,"7,461,237","3,730,618,500","500",원(KRW),042-864-0038,대전 유성구 탑립동 928번지 ,1268
145,153460,네이블커뮤니케이션즈,105802,소프트웨어 개발 및 공급업,"6,530,014","3,265,007,000","500",원(KRW),070-7780-9910,"서울특별시 강남구 학동로 40115층(청담동, 금하빌딩) ",1268
146,007390,네이처셀,031102,비알코올음료 및 얼음 제조업,"52,936,399","26,468,199,500","500",원(KRW),02-3472-1681,서울특별시 영등포구 국회대로76길 10 5층 ,1268
147,033640,네패스,032601,반도체 제조업,"21,978,155","11,089,077,500","500",원(KRW),02-3470-2700,충청북도 음성군 삼성면 금일로965번길 105 ,1268
148,087730,네패스신소재,032002,합성고무 및 플라스틱 물질 제조업,"2,860,000","1,430,000,000","500",원(KRW),063-833-2020,전라북도 익산시  석암로 99 엘지화학익산공장 내 ,1268
149,073070,넥센테크,033003,자동차 신품 부품 제조업,"87,508,375","8,750,837,500","100",원(KRW),052-259-8331,울산 울주군 웅촌면 대대리 1644-295 ,1268
150,081970,넥스지,105802,소프트웨어 개발 및 공급업,"5,760,000","2,880,000,000","500",원(KRW),02-569-0873,서울특별시 마포구 월드컵북로 396누리꿈스퀘어 비즈니스타워 16층 ,1268
